season;club;age;players used;% foreigners playing time;Stadium size;avg attendance abs;occupancy;covid;covid occupancy
2019/20;Marseille;26.5;23;"0,355";67394;52805;"0,783526723";0;0
2019/20;Monaco;25.8;28;"0,641";18523;6641;"0,358527236";0;0
2019/20;Metz;25.4;24;"0,676";26700;16583;"0,621086142";0;0
2019/20;Montpellier;28.0;27;"0,424";32939;14147;"0,429490877";0;0
2019/20;Nantes;25.1;29;"0,48";37463;25199;"0,672637002";0;0
2019/20;Nice;23.2;31;"0,472";36178;19225;"0,531400299";0;0
2019/20;Nimes;24.8;28;"0,202";18364;12555;"0,683674581";0;0
2019/20;Paris SG;27.0;31;"0,808";49691;47299;"0,95186251";0;0
2019/20;Reims;24.8;26;"0,631";21684;12932;"0,596384431";0;0
2019/20;Rennes;24.9;26;"0,387";29778;25893;"0,869534556";0;0
2019/20;St Etienne;26.4;31;"0,332";42000;24326;"0,579190476";0;0
2019/20;Strasbourg;25.5 ;25;"0,41";29000;24906;"0,858827586";0;0
2019/20;Toulouse;24.6;30;"0,452";33150;14232;"0,429321267";0;0
