"League","date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","Home","Away","season","avg_age","players_used","foreigners_used","stadium_size","avg_att","occupancy","covid","covid_occupancy","avg_age_away","players_used_away","percentage_foreigners_used_away","NA","NA","NA"
"I1",0004-10-20,"14:00","Lazio","Inter","1","1","D","0","1","A","11","10","5","4","14","13","7","8","3","4","1","1","Lazio","Inter","28.9",27,0.754,"73261","0",0,1,0,"2020/21",28.1,23,0.738,"75923","1000",0
"I1",0004-10-20,"14:00","Parma","Verona","1","0","H","1","0","H","7","8","5","5","11","19","7","6","1","1","0","0","Parma","Verona","27.4",37,0.693,"22352","0",0,1,0,"2020/21",25.7,30,0.468,"39211","0",0
"I1",0004-10-20,"17:00","Milan","Spezia","3","0","H","0","0","D","10","3","5","2","14","19","4","6","1","2","0","0","Milan","Spezia","24.1",29,0.7,"75923","1000",0.013171239281904,1,0,"2020/21",25.1,34,0.497,"10336","0",0
"I1",0017-10-20,"14:00","Napoli","Atalanta","4","1","H","4","0","H","18","11","14","3","12","23","6","2","1","3","0","0","Napoli","Atalanta","26.9",25,0.72,"54726","0",0,1,0,"2020/21",27,30,0.773,"22512","0",0
"I1",0017-10-20,"17:00","Inter","Milan","1","2","A","1","2","A","12","8","6","4","18","11","3","5","3","4","0","0","Inter","Milan","28.1",23,0.738,"75923","1000",0.013171239281904,1,0,"2020/21",24.1,29,0.7,"75923","1000",0
"I1",0017-10-20,"17:00","Sampdoria","Lazio","3","0","H","2","0","H","11","8","8","1","12","10","3","3","2","2","0","0","Sampdoria","Lazio","27.7",26,0.561,"36348","0",0,1,0,"2020/21",28.9,27,0.754,"73261","0",0
"I1",0017-10-20,"19:45","Crotone","Juventus","1","1","D","1","1","D","9","8","3","3","17","14","3","4","3","3","0","1","Crotone","Juventus","27.4",29,0.595,"16640","0",0,1,0,"2020/21",26.8,28,0.77,"41507","0",0
"I1",0018-10-20,"11:30","Bologna","Sassuolo","3","4","A","2","1","H","11","20","7","12","20","12","7","11","2","2","0","0","Bologna","Sassuolo","26.5",32,0.728,"36462","0",0,1,0,"2020/21",26.3,27,0.569,"21584","0",0
"I1",0018-10-20,"14:00","Spezia","Fiorentina","2","2","D","1","2","A","6","7","2","6","15","18","5","5","2","2","0","0","Spezia","Fiorentina","25.1",34,0.497,"10336","0",0,1,0,"2020/21",26.6,30,0.731,"47282","0",0
"I1",0018-10-20,"14:00","Torino","Cagliari","2","3","A","1","2","A","10","9","6","7","14","16","2","4","2","3","1","0","Torino","Cagliari","26.6",28,0.619,"27994","0",0,1,0,"2020/21",25.9,31,0.644,"16416","0",0
"I1",0018-10-20,"17:00","Udinese","Parma","3","2","H","1","1","D","9","7","4","3","12","11","11","2","3","2","0","0","Udinese","Parma","27.2",30,0.851,"25144","0",0,1,0,"2020/21",27.4,37,0.693,"22352","0",0
"I1",0018-10-20,"19:45","Roma","Benevento","5","2","H","2","1","H","16","8","10","4","17","7","6","4","3","2","0","0","Roma","Benevento","26.6",26,0.668,"73261","0",0,1,0,"2020/21",28.3,26,0.381,"16867","0",0
"I1",0019-10-20,"19:45","Verona","Genoa","0","0","D","0","0","D","18","5","12","2","14","15","14","2","1","4","0","0","Verona","Genoa","25.7",30,0.468,"39211","0",0,1,0,"2020/21",27.8,33,0.453,"36599","0",0
"I1",0023-10-20,"19:45","Sassuolo","Torino","3","3","D","0","1","A","13","14","9","12","10","12","6","8","2","2","0","0","Sassuolo","Torino","26.3",27,0.569,"21584","0",0,1,0,"2020/21",26.6,28,0.619,"27994","0",0
"I1",0024-10-20,"14:00","Atalanta","Sampdoria","1","3","A","0","1","A","10","5","5","4","11","18","3","1","3","4","0","0","Atalanta","Sampdoria","27",30,0.773,"22512","0",0,1,0,"2020/21",27.7,26,0.561,"36348","0",0
"I1",0024-10-20,"17:00","Genoa","Inter","0","2","A","0","0","D","1","10","0","6","11","17","1","9","1","1","0","0","Genoa","Inter","27.8",33,0.453,"36599","0",0,1,0,"2020/21",28.1,23,0.738,"75923","1000",0
"I1",0024-10-20,"19:45","Lazio","Bologna","2","1","H","0","0","D","6","16","4","6","14","15","8","9","3","3","0","0","Lazio","Bologna","28.9",27,0.754,"73261","0",0,1,0,"2020/21",26.5,32,0.728,"36462","0",0
"I1",0025-10-20,"11:30","Cagliari","Crotone","4","2","H","3","2","H","15","11","8","6","13","13","5","1","2","4","0","1","Cagliari","Crotone","25.9",31,0.644,"16416","0",0,1,0,"2020/21",27.4,29,0.595,"16640","0",0
"I1",0025-10-20,"14:00","Benevento","Napoli","1","2","A","1","0","H","6","14","3","8","18","13","3","15","3","1","0","0","Benevento","Napoli","28.3",26,0.381,"16867","0",0,1,0,"2020/21",26.9,25,0.72,"54726","0",0
"I1",0025-10-20,"14:00","Parma","Spezia","2","2","D","1","2","A","15","13","7","9","12","22","12","3","3","2","0","0","Parma","Spezia","27.4",37,0.693,"22352","0",0,1,0,"2020/21",25.1,34,0.497,"10336","0",0
