"Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","avg_age_home","players_used_home","foreigners_home","stadium_size","avg_attendance","occupancy","avg_age_away","players_used_away","foreigners_away","season","league","spi1","spi2","prob1","prob2","probtie","proj_score1","proj_score2","importance1","importance2","xg1","xg2","nsxg1","nsxg2","adj_score1","adj_score2","yel_card_spread","rating_diff","xg_diff","age_diff","red_card_spread","importance_diff","covid","home_win","away_win","draw","home_points","away_points","yel_card_ratio_home","red_card_ratio_home","yel_card_ratio_away","red_card_ratio_away","home_points_percentage_total","away_points_percentage_total","shots_ratio_home","shots_ratio_away","goal_diff","diff_point"
2018-08-18,"Cardiff","Newcastle",0,0,"D",12,12,1,6,14,16,5,5,2,2,0,1,27.3,25,0.657,"33280","31408",0.94375,26.6,24,0.826,2018,"Barclays Premier League",58.62,67.27,0.3643,0.342,0.2936,1.25,1.2,42.7,26.4,1.16,1.78,0.95,0.74,0,0,0,-8.65,-0.62,0.699999999999999,-1,16.3,0,0,0,1,1,1,0.142857142857143,0.142857142857143,0.125,0.0625,0.5,0.5,0.0833333333333333,0.5,0,0
2018-08-18,"Chelsea","Arsenal",3,2,"H",24,15,11,6,12,9,5,1,0,2,0,0,27.1,24,0.93,"40853","40441",0.989915061,26.4,28,0.94,2018,"Barclays Premier League",85.12,81.05,0.5039,0.2599,0.2362,1.98,1.37,65.6,67.3,2.25,2.49,1.85,1.84,3.15,2.1,-2,4.07000000000001,-0.24,0.700000000000003,0,-1.7,0,1,0,0,3,0,0,0,0.222222222222222,0,1,0,0.458333333333333,0.4,1,3
2018-08-18,"Everton","Southampton",2,1,"H",13,15,7,4,8,20,2,5,0,5,0,0,25.5,23,0.633,"39,571","39043",0.986656895,25.4,30,0.554,2018,"Barclays Premier League",67.91,67.33,0.4463,0.2687,0.285,1.44,1.05,26.5,23.9,1.9,1.77,1.54,0.92,2.1,1.05,-5,0.579999999999998,0.13,0.100000000000001,0,2.6,0,1,0,0,3,0,0,0,0.25,0,1,0,0.538461538461538,0.266666666666667,1,3
2018-08-18,"Leicester","Wolves",2,0,"H",6,11,2,3,10,8,1,9,2,1,1,0,25.9,25,0.547,"32273","31851",0.986924054,25.4,21,0.808,2018,"Barclays Premier League",70.92,62.66,0.5266,0.2119,0.2616,1.68,0.97,17.5,30.1,0.19,1.05,0.85,1.06,2.1,0,1,8.26000000000001,-0.86,0.5,1,-12.6,0,1,0,0,3,0,0.2,0.2,0.125,0,1,0,0.333333333333333,0.272727272727273,2,3
2018-08-18,"Tottenham","Fulham",3,1,"H",25,10,11,3,9,5,5,2,0,0,0,0,26.6,28,0.679,"62062","54216",0.873578035,25.8,28,0.76,2018,"Barclays Premier League",85.65,63.69,0.7806,0.0627,0.1567,2.44,0.54,60.1,33.4,3.05,1.3,3.12,1.16,2.97,1.05,0,21.96,1.75,0.800000000000001,0,26.7,0,1,0,0,3,0,0,0,0,0,1,0,0.44,0.3,2,3
2018-08-18,"West Ham","Bournemouth",1,2,"A",11,12,5,5,14,10,6,4,6,2,0,0,27.7,26,0.747,"60000","58336",0.972266667,26.2,28,0.522,2018,"Barclays Premier League",63.44,63.61,0.4434,0.2945,0.2621,1.63,1.29,30.4,26.2,1.11,1.83,1.06,1.44,1.05,2.1,4,-0.170000000000002,-0.72,1.5,0,4.2,0,0,1,0,0,3,0.428571428571429,0.428571428571429,0.2,0,0,1,0.454545454545455,0.416666666666667,-1,-3
2018-08-19,"Brighton","Man United",3,2,"H",6,9,3,3,16,13,3,5,1,1,0,0,27.2,21,0.707,"30,666","30426",0.992173743,26,28,0.662,2018,"Barclays Premier League",61.87,81.59,0.2142,0.5265,0.2593,0.99,1.7,34.9,56.1,1.63,1.62,0.68,1.02,3.15,2.1,0,-19.72,0.00999999999999979,1.2,0,-21.2,0,1,0,0,3,0,0.0625,0.0625,0.0769230769230769,0,1,0,0.5,0.333333333333333,1,3
2018-08-19,"Burnley","Watford",1,3,"A",8,9,3,6,8,19,5,2,1,2,0,0,27.9,23,0.298,"21994","20534",0.93361826,27.9,25,0.755,2018,"Barclays Premier League",65.91,67.29,0.4229,0.2812,0.2959,1.33,1.03,27.1,19.9,0.8,1.71,0.77,1.63,1.05,3.15,-1,-1.38000000000001,-0.91,0,0,7.2,0,0,1,0,0,3,0.125,0.125,0.105263157894737,0,0,1,0.375,0.666666666666667,-2,-3
2018-08-19,"Man City","Huddersfield",6,1,"H",32,5,14,1,9,4,10,3,0,2,0,0,26.4,21,0.778,"55017","54130",0.983877711,25.9,31,0.794,2018,"Barclays Premier League",92.53,59.29,0.8927,0.0146,0.0927,2.76,0.2,91.3,41.4,4.46,0.74,3.95,0.52,5.81,1.05,-2,33.24,3.72,0.5,0,49.9,0,1,0,0,3,0,0,0,0.5,0,1,0,0.4375,0.2,5,3
2018-08-20,"Crystal Palace","Liverpool",0,2,"A",8,16,2,6,6,13,6,7,1,1,1,0,27.2,26,0.705,"26047","25455",0.977271855,26.2,23,0.777,2018,"Barclays Premier League",71.17,89.48,0.1953,0.5778,0.2269,1.12,2.06,25.9,49.6,0.47,2.66,0.87,3.19,0,1.47,0,-18.31,-2.19,1,1,-23.7,0,0,1,0,0,3,0.166666666666667,0.166666666666667,0.0769230769230769,0,0,1,0.25,0.375,-2,-3
2018-08-25,"Arsenal","West Ham",3,1,"H",17,13,10,5,16,13,10,2,1,3,0,0,26.4,28,0.94,"60704","59899",0.98673893,27.7,26,0.747,2018,"Barclays Premier League",81.27,62.33,0.7271,0.1035,0.1695,2.57,0.87,54.2,30.3,1.81,1.22,1.72,2.12,2.63,1.05,-2,18.94,0.59,-1.3,0,23.9,0,1,0,0,3,0,0.0625,0.0625,0.230769230769231,0,1,0,0.588235294117647,0.384615384615385,2,3
2018-08-25,"Bournemouth","Everton",2,2,"D",17,11,5,3,12,10,6,2,0,3,1,1,26.2,28,0.522,"11329","10532",0.929649572,25.5,23,0.633,2018,"Barclays Premier League",64.75,68,0.4224,0.3099,0.2677,1.55,1.3,23.3,17.3,2.73,0.63,1.82,1.4,2.1,2.1,-3,-3.25,2.1,0.699999999999999,0,6,0,0,0,1,1,1,0,0,0.3,0.1,0.5,0.5,0.294117647058824,0.272727272727273,0,0
2018-08-25,"Huddersfield","Cardiff",0,0,"D",5,14,1,4,8,10,7,7,0,1,1,0,25.9,31,0.794,"24500","23340",0.952653061,27.3,25,0.657,2018,"Barclays Premier League",58.14,58.6,0.4283,0.2663,0.3053,1.28,0.95,48.9,45.9,0.25,1.08,0.59,1.16,0,0,-1,-0.460000000000001,-0.83,-1.4,1,3,0,0,0,1,1,1,0,0,0.1,0,0.5,0.5,0.2,0.285714285714286,0,0
2018-08-25,"Liverpool","Brighton",1,0,"H",22,6,8,2,8,14,8,5,1,1,0,0,26.2,23,0.777,"54,074","52983",0.979823945,27.2,21,0.707,2018,"Barclays Premier League",90.23,62.9,0.8582,0.031,0.1108,2.77,0.38,67.8,22.9,1.94,0.64,2.42,0.85,1.05,0,0,27.33,1.3,-1,0,44.9,0,1,0,0,3,0,0.125,0.125,0.0714285714285714,0,1,0,0.363636363636364,0.333333333333333,1,3
2018-08-25,"Southampton","Leicester",1,2,"A",11,8,5,5,13,11,10,3,1,1,1,0,25.4,30,0.554,"32384","30139",0.930675642,25.9,25,0.547,2018,"Barclays Premier League",66.99,70.72,0.4039,0.3114,0.2847,1.38,1.18,28.7,18.9,0.48,0.57,1.32,0.58,1.05,1.89,0,-3.73,-0.09,-0.5,1,9.8,0,0,1,0,0,3,0.0769230769230769,0.0769230769230769,0.0909090909090909,0,0,1,0.454545454545455,0.625,-1,-3
2018-08-25,"Wolves","Man City",1,1,"D",11,18,2,6,13,8,5,9,1,2,0,0,25.4,21,0.808,"32050","31025",0.968018721,26.4,21,0.778,2018,"Barclays Premier League",63.22,92.69,0.0943,0.7304,0.1753,0.74,2.41,31.4,73.5,1.19,1.88,0.64,2.54,1.05,1.05,-1,-29.47,-0.69,-1,0,-42.1,0,0,0,1,1,1,0.0769230769230769,0.0769230769230769,0.25,0,0.5,0.5,0.181818181818182,0.333333333333333,0,0
2018-08-26,"Fulham","Burnley",4,2,"H",25,12,12,2,11,8,6,4,2,1,0,0,25.8,28,0.76,"19,000","24371",1.282684211,27.9,23,0.298,2018,"Barclays Premier League",63.54,63.93,0.4437,0.2676,0.2887,1.41,1.03,38.4,36.3,1.49,1.65,1.81,1.45,3.87,2.1,1,-0.390000000000001,-0.16,-2.1,0,2.1,0,1,0,0,3,0,0.181818181818182,0.181818181818182,0.125,0,1,0,0.48,0.166666666666667,2,3
2018-08-26,"Newcastle","Chelsea",1,2,"A",6,15,2,3,16,8,4,5,3,1,0,0,26.6,24,0.826,"52338","51121",0.976747296,27.1,24,0.93,2018,"Barclays Premier League",67.72,84.78,0.2152,0.5349,0.2499,1.05,1.8,24.2,57.8,0.24,1.62,0.72,2.11,1.05,2.1,2,-17.06,-1.38,-0.5,0,-33.6,0,0,1,0,0,3,0.1875,0.1875,0.125,0,0,1,0.333333333333333,0.2,-1,-3
2018-08-26,"Watford","Crystal Palace",2,1,"H",13,9,5,3,14,11,6,3,4,2,0,0,27.9,25,0.755,"21577","20016",0.927654447,27.2,26,0.705,2018,"Barclays Premier League",68.97,70.02,0.4293,0.2919,0.2788,1.47,1.16,19,17.7,1.14,1.13,1.54,1.14,2.1,1.05,2,-1.05,0.01,0.699999999999999,0,1.3,0,1,0,0,3,0,0.285714285714286,0.285714285714286,0.181818181818182,0,1,0,0.384615384615385,0.333333333333333,1,3
2018-08-27,"Man United","Tottenham",0,3,"A",23,9,5,5,11,16,5,2,2,4,0,0,26,28,0.662,"74879","74498",0.994911791,26.6,28,0.679,2018,"Barclays Premier League",80.53,85.5,0.3669,0.3739,0.2591,1.53,1.54,59.7,64.9,1.57,1.66,2.2,1.25,0,2.78,-2,-4.97,-0.0899999999999999,-0.600000000000001,0,-5.2,0,0,1,0,0,3,0.181818181818182,0.181818181818182,0.25,0,0,1,0.217391304347826,0.555555555555556,-3,-3
2018-09-01,"Brighton","Fulham",2,2,"D",15,10,5,5,12,14,7,1,3,3,0,0,27.2,21,0.707,"30,666","30426",0.992173743,25.8,28,0.76,2018,"Barclays Premier League",63.49,63.49,0.4307,0.2881,0.2812,1.45,1.14,31.4,33.8,2.94,1.5,1.15,0.9,2.1,2.1,0,0,1.44,1.4,0,-2.4,0,0,0,1,1,1,0.25,0.25,0.214285714285714,0,0.5,0.5,0.333333333333333,0.5,0,0
2018-09-01,"Chelsea","Bournemouth",2,0,"H",24,8,6,1,10,7,7,6,2,2,0,0,27.1,24,0.93,"40853","40441",0.989915061,26.2,28,0.522,2018,"Barclays Premier League",85.37,65.29,0.7545,0.0829,0.1626,2.52,0.72,55.9,15.1,1.28,1.14,2.79,0.97,1.72,0,0,20.08,0.14,0.900000000000002,0,40.8,0,1,0,0,3,0,0.2,0.2,0.285714285714286,0,1,0,0.25,0.125,2,3
2018-09-01,"Crystal Palace","Southampton",0,2,"A",20,19,6,6,11,12,7,4,1,1,0,0,27.2,26,0.705,"26047","25455",0.977271855,25.4,30,0.554,2018,"Barclays Premier League",69.81,66.83,0.4676,0.253,0.2794,1.5,1.03,18.8,31.5,1.84,3.11,2.25,1.38,0,1.58,0,2.98,-1.27,1.8,0,-12.7,0,0,1,0,0,3,0.0909090909090909,0.0909090909090909,0.0833333333333333,0,0,1,0.3,0.315789473684211,-2,-3
