season	club	age	players used	% foreigners playing time	Stadium size	avg attendance abs	occupancy	covid	covid occupancy
2018/19	Rizespor	26.6	31	0,727	15332	8469	0,552374119	0	0
2018/19	Erzurum BB	28.2	30	0,593	23700	12524	0,528438819	0	0
2018/19	Fenerbahce	28.6	32	0,633	47834	35798	0,748379814	0	0
2018/19	Galatasaray	27.7	33	0,816	52223	36166	0,692530111	0	0
2018/19	Goztep	29.2	26	0,672	19713	7942	0,402881347	0	0
2018/19	Buyuksehyr	30.4	26	0,641	17156	4050	0,236069014	0	0
2018/19	Kasimpasa	26.5	27	0,741	13856	2734	0,197315242	0	0
2018/19	Kayserispor	29.1	26	0,637	32864	9869	0,300298199	0	0
2018/19	Konyaspor	28.3	26	0,62	42000	17472	0,416	0	0
2018/19	Sivasspor	29.0	25	0,553	27532	8400	0,305099521	0	0
2018/19	Trabzonspor	26.8	28	0,591	40782	25687	0,629861213	0	0
2018/19	Yeni Malatyaspor	27.7	29	0,548	25745	7911	0,307282968	0	0
2018/19	Arsenal	26.4	28	0,94	60704	59899	0,98673893	0	0
2018/19	Bournemouth	26.2	28	0,522	11329	10532	0,929649572	0	0
2018/19	Brighton	27.2	21	0,707	30.666	30426	0,992173743	0	0
2018/19	Burnley	27.9	23	0,298	21994	20534	0,93361826	0	0
2018/19	Cardiff	27.3	25	0,657	33280	31408	0,94375	0	0
2018/19	Chelsea	27.1	24	0,93	40853	40441	0,989915061	0	0
2018/19	Crystal Palace	27.2	26	0,705	26047	25455	0,977271855	0	0
2018/19	Everton	25.5	23	0,633	39.571	39043	0,986656895	0	0
2018/19	Fulham	25.8	28	0,76	19.000	24371	1,282684211	0	0
2018/19	Huddersfield	25.9	31	0,794	24500	23340	0,952653061	0	0
2018/19	Leicester	25.9	25	0,547	32273	31851	0,986924054	0	0
2018/19	Liverpool	26.2	23	0,777	54.074	52983	0,979823945	0	0
2018/19	Man City	26.4	21	0,778	55017	54130	0,983877711	0	0
2018/19	Man United	26.0	28	0,662	74879	74498	0,994911791	0	0
2018/19	Newcastle	26.6	24	0,826	52338	51121	0,976747296	0	0
2018/19	Southampton	25.4	30	0,554	32384	30139	0,930675642	0	0
2018/19	Tottenham	26.6	28	0,679	62062	54216	0,873578035	0	0
2018/19	Watford	27.9	25	0,755	21577	20016	0,927654447	0	0
2018/19	West Ham	27.7	26	0,747	60000	58336	0,972266667	0	0
2018/19	Wolves	25.4	21	0,808	32050	31025	0,968018721	0	0
2018/19	Hoffenheim	25.2	29	0,617	30150	28456	0,943814262	0	0
2018/19	Leverkusen	25.1	21	0,438	30210	27990	0,926514399	0	0
2018/19	Bayern Munich	27.3	24	0,448	75024	75000	0,999680102	0	0
2018/19	Dortmund	24.5	23	0,753	81365	80841	0,993559884	0	0
2018/19	M'gladbach	26.4	22	0,583	54022	49668	0,919403206	0	0
2018/19	Ein Frankfurt	26.2	30	0,773	51500	49794	0,966873786	0	0
2018/19	Augsburg	26.2	30	0,576	30660	28615	0,933300718	0	0
2018/19	Fortuna Dusseldorf	26.6	24	0,469	54600	43845	0,803021978	0	0
2018/19	Hannover	26.0	32	0,495	49000	38365	0,782959184	0	0
2018/19	Hertha	25.8	26	0,657	74649	49318	0,660665247	0	0
2018/19	Mainz	24.4	28	0,615	34000	26287	0,773147059	0	0
2018/19	Nurnberg	24.7	27	0,365	50000	40372	0,80744	0	0
2018/19	RB Leipzig	23.7	23	0,733	42146	38380	0,910643952	0	0
2018/19	Freiburg	25.7	28	0,108	24000	23900	0,995833333	0	0
2018/19	Schalke 04	25.3	32	0,691	62271	61069	0,980697275	0	0
2018/19	Stuttgart	26.2	26	0,431	60449	54550	0,902413605	0	0
2018/19	Wolfsburg	25.2	25	0,661	30000	24552	0,8184	0	0
2018/19	Werder Bremen	27.2	24	0,69	42100	41403	0,983444181	0	0
2018/19	Alaves	26.6	26	0,281	19840	18138	0,91421371	0	0
2018/19	Ath Bilbao	27.6	27	0,05	53289	40654	0,762896658	0	0
2018/19	Ath Madrid	26.2	29	0,637	68456	56216	0,821199018	0	0
2018/19	Barcelona	27.1	30	0,684	99354	76051	0,765454838	0	0
2018/19	Betis	26.7	25	0,447	59378	44525	0,749856849	0	0
2018/19	Celta	25.1	28	0,548	29000	17603	0,607	0	0
2018/19	Eibar	28.4	25	0,388	8164	4947	0,605952964	0	0
2018/19	Espanol	27.6	25	0,209	40500	19388	0,478716049	0	0
2018/19	Getafe	27.5	26	0,594	16800	11000	0,654761905	0	0
2018/19	Girona	26.1	26	0,358	11286	10921	0,967659047	0	0
2018/19	Huesca	26.6	30	0,358	7800	6605	0,846794872	0	0
2018/19	Leganes	26.6	29	0,491	12454	10435	0,837883411	0	0
2018/19	Levante	26.1	26	0,24	25354	20216	0,797349531	0	0
2018/19	Vallecano	26.6	29	0,371	15105	11928	0,789672294	0	0
2018/19	Real Madrid	26.6	27	0,584	81044	60645	0,748297221	0	0
2018/19	Sevilla	27.5	27	0,661	43883	35942	0,819041542	0	0
2018/19	Sociedad	24.8	30	0,286	39500	22329	0,565291139	0	0
2018/19	Valencia	26.0	25	0,538	48600	39480	0,812345679	0	0
2018/19	Valladolid	27.1	28	0,136	27618	19045	0,689586502	0	0
2018/19	Villarreal	27.0	26	0,271	23500	16732	0,712	0	0
2018/19	Angers	27.4	24	0,354	16381	11192	0,683230572	0	0
2018/19	Amiens	26.4	26	0,531	12999	10897	0,838295253	0	0
2018/19	Bordeaux	25.1	33	0,567	42052	20849	0,495790926	0	0
2018/19	Caen	25.5 	26	0,63	20500	16654	0,812390244	0	0
2018/19	Dijon	27.0	26	0,553	16098	13044	0,810286992	0	0
2018/19	Guingamp	26.0	30	0,396	18120	14731	0,812969095	0	0
2018/19	Lille	24.0	25	0,649	50186	34079	0,679053919	0	0
2018/19	Lyon	24.0	25	0,518	59186	49079	0,829233265	0	0
2018/19	Marseille	26.7	24	0,385	67394	53012	0,786598213	0	0
2018/19	Monaco	25.3	42	0,807	18523	8448	0,456081628	0	0
2018/19	Montpellier	27.7	25	0,43	32939	13829	0,419836668	0	0
2018/19	Nantes	25.5 	33	0,683	37463	25185	0,6722633	0	0
2018/19	Nice	23.7	29	0,434	36178	19126	0,528663829	0	0
2018/19	Nimes	24.0	23	0,291	18364	13965	0,760455239	0	0
2018/19	Paris SG	25.8	30	0,661	49691	46911	0,944054255	0	0
2018/19	Reims	25.8	27	0,688	21684	14341	0,661363217	0	0
2018/19	Rennes	25.3	28	0,506	29778	23675	0,795050037	0	0
2018/19	St Etienne	27.1	29	0,315	42000	28400	0,676190476	0	0
2018/19	Strasbourg	25.9	26	0,383	29000	25216	0,869517241	0	0
2018/19	Toulouse	25.3	29	0,579	33150	16224	0,489411765	0	0
